Tour Operator,Event,Duration,Standard Slot
Vorovoro,Four peaks hike,4 Hours,Morning (8 AM - 12 PM)
,Coconut Workshop,2 Hours,Afternoon (2 PM - 4 PM)
,Cook Fijian-Style,3 Hours,Mid-day (11 AM - 2 PM)
,Oil & Soap Making,2 Hours,Afternoon (2 PM - 4 PM)
Drawa Eco,Mountain hiking,4 Hours,Morning (8 AM - 12 PM)
,Horseback riding,3 Hours,Variable
,River rafting,5 Hours,Full Morning (8 AM - 1 PM)
,Snorkeling,2 Hours,Variable
Baleyaga,Trekking,4 Hours,Morning (8 AM - 12 PM)
,Prawn catching,3 Hours,Evening (4 PM - 7 PM)
,Camping,24 Hours,Overnight
Waisali,Zip lining,2 Hours,Variable
,Jungle trekking,5 Hours,Full Morning (8 AM - 1 PM)
,Hunting & Cooking,6 Hours,Afternoon/Evening
Dromuninuku,Culture Tour,3 Hours,Morning (9 AM - 12 PM)
,Beach glamping,24 Hours,Overnight